classifier,group,timeframe,instrument,window,bars_per_year,share_bull,drift_bull,vol_bull,ac1_bull,eff_bull,share_bear,drift_bear,vol_bear,ac1_bear,eff_bear,share_chop,drift_chop,vol_chop,ac1_chop,eff_chop,s1,kw_h,d_eff,d_ac1,n_bars,s1_null_mean,s1_null_p5,s1_null_p95,s1_z,s1_p,kw_h_null_mean,kw_h_null_p5,kw_h_null_p95,kw_h_z,kw_h_p,d_eff_null_mean,d_eff_null_p5,d_eff_null_p95,d_eff_z,d_eff_p,d_ac1_null_mean,d_ac1_null_p5,d_ac1_null_p95,d_ac1_z,d_ac1_p
ADX,crypto,4h,AVAX-USD,FULL,2188,0.295029,-0.000467,0.860253,0.002951,0.241704,0.389595,-0.000270,0.960788,-0.037787,0.201512,0.315376,0.000281,0.757835,0.024304,0.417448,-0.000198,2.569274,-0.195840,-0.041722,4368,0.000024,-0.001052,0.001174,-0.338666,0.622517,2.133604,0.136621,6.352683,0.203748,0.284768,-0.150758,-0.211715,-0.086984,-1.148533,0.854305,-0.011309,-0.079952,0.061651,-0.730748,0.788079
ADX,crypto,4h,AVAX-USD,IS,2188,0.313537,-0.000062,0.926746,-0.011761,0.219907,0.400133,-0.000273,1.043336,-0.046184,0.202331,0.286330,0.000383,0.814028,0.051343,0.391170,0.000211,0.618776,-0.180050,-0.080316,3057,,,,,,,,,,,,,,,,,,,,
ADX,crypto,4h,AVAX-USD,OOS,2188,0.251908,-0.001649,0.630542,0.081713,0.285185,0.365649,-0.000262,0.711751,0.009324,0.199838,0.382443,0.000105,0.649658,-0.043642,0.466064,-0.001387,4.729143,-0.223553,0.089161,1311,-0.000072,-0.001998,0.002138,-1.062221,0.854305,1.968523,0.132207,5.687626,1.530740,0.066225,-0.146754,-0.264807,-0.033083,-1.129657,0.894040,-0.009556,-0.119397,0.103215,1.424480,0.086093
ER,crypto,4h,AVAX-USD,FULL,2188,0.151369,0.000334,0.851032,0.042198,0.356926,0.184955,-0.000034,1.060160,-0.064620,0.291896,0.663676,-0.000273,0.816281,-0.002692,0.321555,0.000367,2.820805,0.002856,-0.008519,4368,0.000217,-0.001411,0.001820,0.162625,0.410596,2.165842,0.157467,5.572974,0.338603,0.298013,0.014948,-0.026992,0.061408,-0.440872,0.688742,-0.016526,-0.075573,0.047476,0.206257,0.417219
ER,crypto,4h,AVAX-USD,IS,2188,0.176877,0.000942,0.891237,0.053214,0.360624,0.181818,0.000313,1.167173,-0.075527,0.294585,0.641304,-0.000340,0.888065,-0.005402,0.348702,0.000629,4.858821,-0.021097,-0.005754,3057,,,,,,,,,,,,,,,,,,,,
ER,crypto,4h,AVAX-USD,OOS,2188,0.092366,-0.002364,0.627583,-0.123688,0.342136,0.192366,-0.000793,0.774592,-0.008600,0.285251,0.715267,-0.000140,0.642364,0.006610,0.261103,-0.001571,3.286512,0.052590,-0.072754,1311,-0.000118,-0.002845,0.002512,-0.869889,0.814570,2.111818,0.117838,6.354358,0.587766,0.185430,0.015165,-0.071335,0.104471,0.671885,0.231788,-0.013506,-0.134641,0.114434,-0.776416,0.814570
HMM,crypto,4h,AVAX-USD,FULL,2188,0.368760,-0.000505,0.921790,0.008686,0.273089,0.133195,0.000902,1.291204,-0.064075,0.202063,0.498045,-0.000142,0.670651,0.010824,0.207672,-0.001407,0.432366,0.029904,-0.038519,4368,-0.000828,-0.002276,0.000862,-0.546498,0.695364,2.456324,0.171834,7.217980,-0.823923,0.874172,0.016936,-0.043466,0.088706,0.323911,0.384106,-0.031672,-0.081079,0.031621,-0.198481,0.582781
HMM,crypto,4h,AVAX-USD,IS,2188,0.424901,-0.000408,0.938323,-0.005506,0.285742,0.179513,0.001010,1.318512,-0.065378,0.159828,0.395586,-0.000007,0.724707,0.035528,0.219044,-0.001417,0.513620,0.003740,-0.070970,3057,,,,,,,,,,,,,,,,,,,,
HMM,crypto,4h,AVAX-USD,OOS,2188,0.238168,-0.000930,0.851129,0.074897,0.261849,0.025954,-0.000822,0.719671,-0.001623,0.402682,0.735878,-0.000311,0.596397,-0.030799,0.181894,-0.000108,0.604033,0.150371,0.067436,1311,-0.000904,-0.004060,0.002411,0.406837,0.360000,2.133664,0.161323,6.342542,-0.654242,0.740000,0.022260,-0.077949,0.111923,2.103462,0.019868,-0.026191,-0.138170,0.084488,1.380977,0.092715
ADX,crypto,4h,BNB-USD,FULL,2188,0.297341,0.000039,0.512274,-0.049930,0.253762,0.357457,0.000102,0.599948,-0.003276,0.240910,0.345202,0.000039,0.449698,0.005985,0.342612,-0.000064,4.456661,-0.095276,-0.032588,4368,-0.000020,-0.000656,0.000525,-0.115987,0.582781,2.950395,0.194412,7.726743,0.551810,0.231788,-0.155871,-0.212535,-0.098553,1.536907,0.046358,-0.014604,-0.121276,0.068145,-0.317527,0.649007
