classifier,group,timeframe,instrument,window,bars_per_year,share_bull,drift_bull,vol_bull,ac1_bull,eff_bull,share_bear,drift_bear,vol_bear,ac1_bear,eff_bear,share_chop,drift_chop,vol_chop,ac1_chop,eff_chop,s1,kw_h,d_eff,d_ac1,n_bars,s1_null_mean,s1_null_p5,s1_null_p95,s1_z,s1_p,kw_h_null_mean,kw_h_null_p5,kw_h_null_p95,kw_h_z,kw_h_p,d_eff_null_mean,d_eff_null_p5,d_eff_null_p95,d_eff_z,d_eff_p,d_ac1_null_mean,d_ac1_null_p5,d_ac1_null_p95,d_ac1_z,d_ac1_p
ADX,crypto,4h,ETH-USD,IS,2188,0.291018,0.000245,0.607813,-0.010869,0.286465,0.397415,-0.000312,0.822358,0.019334,0.203948,0.311568,0.000426,0.640602,0.005886,0.403198,0.000558,0.275506,-0.157991,-0.001654,3060,,,,,,,,,,,,,,,,,,,,
ADX,crypto,4h,ETH-USD,OOS,2188,0.270023,-0.000756,0.581498,0.125048,0.311191,0.387490,-0.000736,0.663419,0.022217,0.275419,0.342487,0.000658,0.530016,0.092536,0.387995,-0.000020,2.794403,-0.094690,-0.018903,1312,-0.000012,-0.001804,0.001661,-0.008390,0.509934,2.104496,0.042317,6.714181,0.304529,0.264901,-0.151385,-0.287041,-0.030080,0.731956,0.264901,-0.023363,-0.151280,0.110879,0.056542,0.509934
ER,crypto,4h,ETH-USD,FULL,2188,0.177201,0.000740,0.616207,0.055252,0.349849,0.170995,-0.000314,0.891164,-0.019896,0.321791,0.651804,-0.000155,0.628022,0.017922,0.333346,0.001054,0.180862,0.002474,-0.000244,4372,0.000339,-0.000798,0.001481,0.978264,0.178808,2.383422,0.243893,5.767591,-0.945470,0.973510,0.019980,-0.036143,0.075054,-0.526985,0.701987,-0.015101,-0.077910,0.055202,0.358342,0.324503
ER,crypto,4h,ETH-USD,IS,2188,0.192827,0.001585,0.622044,0.037763,0.341385,0.158276,-0.000660,0.972483,-0.033620,0.335132,0.648898,-0.000158,0.652845,0.000426,0.326568,0.002245,1.561404,0.011691,0.001646,3060,,,,,,,,,,,,,,,,,,,,
ER,crypto,4h,ETH-USD,OOS,2188,0.141114,-0.001937,0.579810,0.091585,0.373124,0.200610,0.000319,0.718087,0.029039,0.299817,0.658276,-0.000083,0.560879,0.069680,0.345898,-0.002256,5.735751,-0.009428,-0.009368,1312,0.000246,-0.001995,0.002595,-1.833918,0.973510,1.883711,0.070706,5.272905,2.131633,0.046358,0.016940,-0.069963,0.117602,-0.438769,0.642384,-0.018827,-0.149026,0.099289,0.119862,0.410596
HMM,crypto,4h,ETH-USD,FULL,2188,0.491151,0.000038,0.535414,0.035871,0.197642,0.142956,-0.000203,1.023906,-0.032128,0.203400,0.365893,-0.000036,0.681149,0.032253,0.278406,0.000241,0.168583,-0.077885,-0.030381,4372,0.000037,-0.001550,0.001209,0.250515,0.384106,2.044871,0.155171,5.969698,-0.847450,0.933775,-0.018547,-0.078668,0.040298,-1.722713,0.947020,-0.021660,-0.077319,0.032172,-0.245743,0.589404
HMM,crypto,4h,ETH-USD,IS,2188,0.451464,0.000066,0.554018,0.041245,0.204613,0.160908,-0.000014,1.063114,-0.047030,0.194222,0.387628,0.000184,0.684547,0.026543,0.284810,0.000079,0.788369,-0.085393,-0.029435,3060,,,,,,,,,,,,,,,,,,,,
HMM,crypto,4h,ETH-USD,OOS,2188,0.582761,0.000060,0.491912,0.014518,0.178720,0.101449,-0.000897,0.863823,0.052870,0.238276,0.315789,-0.000659,0.670532,0.045310,0.259866,0.000957,1.677418,-0.051368,-0.011616,1312,-0.000060,-0.002321,0.002233,0.724054,0.238411,1.950542,0.097974,6.291457,-0.134271,0.417219,-0.014655,-0.100590,0.074363,-0.602080,0.748344,-0.022118,-0.137388,0.080689,0.155121,0.490066
ADX,crypto,4h,LINK-USD,FULL,2188,0.307052,-0.000075,0.902495,0.016023,0.254027,0.357919,0.000470,0.964886,-0.000646,0.213369,0.335029,-0.000320,0.725182,0.023420,0.385981,-0.000545,2.360202,-0.152283,-0.015732,4368,-0.000119,-0.001214,0.001054,-0.622259,0.754967,2.071133,0.102207,5.765138,0.162747,0.344371,-0.150677,-0.214633,-0.084920,-0.040584,0.523179,-0.021618,-0.096475,0.044670,0.131949,0.470199
ADX,crypto,4h,LINK-USD,IS,2188,0.334771,0.000299,0.970315,0.003690,0.251080,0.362641,0.000697,1.072487,-0.008725,0.205339,0.302588,-0.000424,0.799666,0.030970,0.377883,-0.000398,1.404626,-0.149674,-0.033488,3057,,,,,,,,,,,,,,,,,,,,
ADX,crypto,4h,LINK-USD,OOS,2188,0.242748,-0.001249,0.640309,0.113036,0.322710,0.347328,-0.000075,0.635191,0.050586,0.233656,0.409924,-0.000143,0.576966,-0.000206,0.400153,-0.001174,2.311825,-0.121969,0.082017,1311,-0.000115,-0.002165,0.001851,-0.811091,0.794702,2.113014,0.091271,6.132630,0.096213,0.377483,-0.141172,-0.261241,-0.026778,0.268105,0.364238,-0.017841,-0.180605,0.118361,1.079129,0.139073
ER,crypto,4h,LINK-USD,FULL,2188,0.152979,0.000396,0.815410,0.089427,0.390654,0.168162,0.000598,1.043505,-0.075624,0.268904,0.678859,-0.000162,0.834940,0.023510,0.330263,-0.000202,3.486180,-0.000484,-0.016608,4368,-0.000176,-0.001925,0.001361,-0.026139,0.496689,2.550800,0.144023,7.258989,0.395976,0.271523,0.021599,-0.021821,0.077477,-0.707309,0.741722,-0.021903,-0.099496,0.051378,0.108072,0.456954
ER,crypto,4h,LINK-USD,IS,2188,0.167984,0.000992,0.870507,0.091011,0.371376,0.167325,0.000759,1.163523,-0.084878,0.249775,0.664690,-0.000078,0.924963,0.017331,0.344854,0.000233,4.552212,-0.034279,-0.014265,3057,,,,,,,,,,,,,,,,,,,,
ER,crypto,4h,LINK-USD,OOS,2188,0.118321,-0.001565,0.590159,0.034348,0.438107,0.170229,0.000232,0.696467,-0.015182,0.314519,0.711450,-0.000341,0.595572,0.055220,0.293947,-0.001797,1.752604,0.082365,-0.045637,1311,-0.000246,-0.003147,0.002401,-0.900531,0.814570,2.024587,0.147529,5.933996,-0.133780,0.417219,0.029609,-0.064080,0.121445,0.926406,0.185430,-0.013621,-0.141947,0.115983,-0.382969,0.668874
HMM,crypto,4h,LINK-USD,FULL,2188,0.268921,0.000321,1.272543,0.003857,0.265129,0.366000,0.000015,0.645454,,,0.365079,-0.000111,0.682925,,,0.000305,0.179417,,,4368,0.000274,-0.000814,0.001389,0.045489,0.463576,2.027072,0.099027,5.848056,-0.908234,0.900662,,,,,,,,,,
HMM,crypto,4h,LINK-USD,IS,2188,0.353755,0.000454,1.307904,-0.006333,0.308272,0.323781,0.000202,0.680060,,,0.322464,0.000050,0.721816,,,0.000252,0.049692,,,3057,,,,,,,,,,,,,,,,,,,,
HMM,crypto,4h,LINK-USD,OOS,2188,0.071756,-0.001163,0.767125,0.344665,0.312415,0.464122,-0.000286,0.584918,,,0.464122,-0.000370,0.614963,,,-0.000877,0.004065,,,1311,0.000289,-0.001992,0.002149,-0.914725,0.827815,1.874989,0.177081,5.580147,-1.107653,1.000000,,,,,,,,,,
ADX,crypto,4h,SOL-USD,FULL,2188,0.320000,-0.000072,0.763625,0.034295,0.216008,0.360462,0.000138,0.863750,0.019601,0.216260,0.319538,-0.000164,0.691118,0.017619,0.395801,-0.000210,1.909326,-0.179667,0.009329,4368,-0.000041,-0.001051,0.001064,-0.262450,0.655629,2.491926,0.099424,8.163383,-0.230041,0.437086,-0.161109,-0.221767,-0.103428,-0.497670,0.715232,-0.005058,-0.073124,0.065996,0.331509,0.364238
ADX,crypto,4h,SOL-USD,IS,2188,0.327140,0.000049,0.808771,0.049178,0.215224,0.353019,0.000536,0.932832,0.008815,0.239366,0.319841,-0.000268,0.726084,0.025760,0.376622,-0.000487,3.355206,-0.149327,0.003237,3057,,,,,,,,,,,,,,,,,,,,
ADX,crypto,4h,SOL-USD,OOS,2188,0.303053,-0.000361,0.638689,-0.026184,0.230476,0.377863,-0.000717,0.690611,0.058042,0.157211,0.319084,0.000076,0.602647,-0.007709,0.440929,0.000356,0.948672,-0.247085,0.023638,1311,-0.000166,-0.002195,0.001705,0.431374,0.337748,2.128099,0.127198,6.274579,-0.555361,0.635762,-0.151414,-0.276580,-0.037037,-1.384048,0.907285,-0.006630,-0.130841,0.126225,0.389737,0.324503
ER,crypto,4h,SOL-USD,FULL,2188,0.166782,0.000233,0.759504,-0.043235,0.342380,0.169312,-0.000403,0.916320,-0.018807,0.312280,0.663906,0.000038,0.745726,0.043688,0.317191,0.000636,0.512280,0.010139,-0.074709,4368,0.000254,-0.000934,0.001547,0.508704,0.304636,1.995254,0.129895,5.283816,-0.750598,0.774834,0.017855,-0.028511,0.069190,-0.249892,0.589404,-0.020187,-0.092638,0.061908,-1.138473,0.860927
ER,crypto,4h,SOL-USD,IS,2188,0.184453,0.000504,0.792153,-0.034465,0.321406,0.167325,-0.000288,0.971559,-0.083089,0.292783,0.648221,0.000162,0.799988,0.052781,0.319302,0.000791,0.277189,-0.012208,-0.111559,3057,,,,,,,,,,,,,,,,,,,,
ER,crypto,4h,SOL-USD,OOS,2188,0.125954,-0.000685,0.634447,-0.098580,0.395515,0.174046,-0.000660,0.779156,0.203557,0.351275,0.700000,-0.000222,0.613553,0.010415,0.317202,-0.000025,0.603212,0.056193,0.042074,1311,0.000161,-0.002726,0.002813,-0.111934,0.562914,2.022848,0.088718,6.543543,-0.707126,0.708609,0.016918,-0.076464,0.098666,0.686051,0.264901,-0.023812,-0.169936,0.116890,0.768787,0.225166
HMM,crypto,4h,SOL-USD,FULL,2188,0.367840,-0.000668,0.682900,,,0.375431,0.000533,0.620290,-0.124277,,0.256729,0.000162,1.064753,0.039490,0.177276,-0.001202,6.871118,,-0.163767,4368,-0.000853,-0.001750,0.000062,-0.647364,0.741722,5.351810,0.606455,15.053581,0.352108,0.278146,,,,,,-0.066193,-0.309830,0.216805,-0.610072,0.710145
HMM,crypto,4h,SOL-USD,IS,2188,0.344203,-0.000812,0.696666,,,0.350461,0.001042,0.668346,,,0.305336,0.000209,1.091467,0.032253,0.174272,-0.001854,8.277120,,,3057,,,,,,,,,,,,,,,,,,,,
HMM,crypto,4h,SOL-USD,OOS,2188,0.422901,-0.000397,0.655960,,,0.433588,-0.000419,0.515474,,,0.143511,-0.000046,0.924853,0.095901,0.257669,0.000021,0.318338,,,1311,-0.000971,-0.002311,0.000482,1.196845,0.112583,2.897073,0.266388,7.943572,-1.052564,0.933775,,,,,,,,,,
ADX,crypto,4h,XRP-USD,FULL,2188,0.304740,0.000281,0.959047,0.001830,0.242191,0.379422,0.000378,0.857652,0.007801,0.211538,0.315838,0.000197,0.630465,0.030156,0.406677,-0.000097,2.580644,-0.179813,-0.025341,4368,0.000531,-0.000456,0.001633,-0.879924,0.821192,2.325510,0.100526,6.487228,0.115608,0.331126,-0.148970,-0.224134,-0.073450,-0.694997,0.814570,-0.023829,-0.125980,0.081559,-0.022683,0.529801
ADX,crypto,4h,XRP-USD,IS,2188,0.333776,0.000727,1.036542,-0.001422,0.248222,0.379230,0.000537,0.938428,-0.019164,0.200620,0.286994,0.000575,0.688419,0.025917,0.406319,0.000190,1.366741,-0.181898,-0.036210,3057,,,,,,,,,,,,,,,,,,,,
ADX,crypto,4h,XRP-USD,OOS,2188,0.237405,-0.001153,0.645367,0.017834,0.235044,0.380153,0.000012,0.634164,0.135817,0.231191,0.382443,-0.000455,0.513855,0.037899,0.407361,-0.001164,1.848370,-0.174244,0.038927,1311,0.000212,-0.001791,0.002146,-1.036202,0.854305,2.358722,0.176608,6.717905,-0.196146,0.437086,-0.148767,-0.269495,-0.005576,-0.342438,0.642384,-0.036072,-0.231223,0.162028,0.668248,0.205298
ER,crypto,4h,XRP-USD,FULL,2188,0.147228,0.001420,1.122973,-0.046480,0.318004,0.153209,0.000430,0.970099,0.042966,0.338089,0.699563,0.000069,0.716209,0.014538,0.302583,0.000990,1.389553,0.025463,-0.016295,4368,0.000749,-0.001027,0.002343,0.243179,0.390728,2.443912,0.148758,7.588354,-0.438130,0.596026,0.024184,-0.027098,0.074182,0.041788,0.483444,0.000681,-0.101478,0.104248,-0.262438,0.602649
ER,crypto,4h,XRP-USD,IS,2188,0.170619,0.001694,1.190500,-0.052334,0.331306,0.129117,0.001021,1.111446,-0.030150,0.280030,0.700264,0.000335,0.785138,0.015327,0.315143,0.000673,2.294222,-0.009475,-0.056569,3057,,,,,,,,,,,,,,,,,,,,
ER,crypto,4h,XRP-USD,OOS,2188,0.093130,0.000256,0.770781,0.001503,0.261468,0.209160,-0.000417,0.719373,0.289607,0.401195,0.697710,-0.000545,0.521148,0.008147,0.275766,0.000673,0.026536,0.055565,0.137408,1311,0.000326,-0.003331,0.003327,0.168682,0.463576,2.467758,0.105325,7.339333,-0.939505,0.986755,0.021534,-0.069188,0.106562,0.620033,0.264901,-0.010128,-0.196086,0.164906,1.358305,0.112583
HMM,crypto,4h,XRP-USD,FULL,2188,0.299977,0.001286,1.228761,-0.007519,0.207820,0.353117,-0.000290,0.566275,-0.063428,0.254657,0.346906,0.000115,0.593258,0.032287,,0.001576,2.012923,,-0.067760,4368,0.001213,-0.000013,0.002473,0.486995,0.317881,3.549202,0.213647,9.620073,-0.501020,0.562914,,,,,,-0.076194,-0.214615,0.081802,0.087577,0.450331
HMM,crypto,4h,XRP-USD,IS,2188,0.372859,0.001695,1.267122,-0.018842,0.208828,0.319829,-0.000260,0.614360,-0.039914,0.272893,0.307312,0.000346,0.605518,-0.018545,,0.001955,2.493678,,-0.010834,3057,,,,,,,,,,,,,,,,,,,,
HMM,crypto,4h,XRP-USD,OOS,2188,0.130534,-0.001396,0.930837,0.112954,0.239599,0.430534,-0.000343,0.472144,-0.161684,0.181711,0.438931,-0.000259,0.572377,0.103525,,-0.001053,1.307291,,-0.127889,1311,0.001331,-0.000858,0.003493,-1.848315,0.960265,2.561242,0.158549,7.155804,-0.544167,0.622517,,,,,,-0.056473,-0.336496,0.243720,-0.398995,0.644295
ADX,futures,1h,CL=F,FULL,5628,0.328081,-0.000077,0.473000,0.023491,0.255638,0.376394,0.000008,0.463029,-0.006808,0.225695,0.295525,0.000112,0.373120,-0.009533,0.403271,-0.000085,3.404894,-0.162604,0.017874,13497,-0.000007,-0.000192,0.000213,-0.651596,0.721854,2.183491,0.110279,6.167294,0.540925,0.238411,-0.138328,-0.173280,-0.102395,-1.079052,0.854305,0.004849,-0.047041,0.052359,0.413438,0.377483
ADX,futures,1h,CL=F,IS,5628,0.329328,-0.000093,0.307390,0.015582,0.238460,0.382178,0.000013,0.328290,-0.023647,0.218832,0.288494,0.000000,0.308820,0.025168,0.413241,-0.000105,1.140354,-0.184595,-0.029201,9447,,,,,,,,,,,,,,,,,,,,
ADX,futures,1h,CL=F,OOS,5628,0.325265,-0.000041,0.726386,0.026017,0.288346,0.362806,-0.000003,0.689492,0.002267,0.242445,0.311929,0.000353,0.482628,-0.040600,0.383331,-0.000038,2.391243,-0.117935,0.054742,4050,-0.000038,-0.000419,0.000363,0.003128,0.503311,1.869829,0.084989,5.597742,0.240478,0.258278,-0.140854,-0.204265,-0.081245,0.600651,0.317881,0.000191,-0.079675,0.082668,1.049116,0.172185
ER,futures,1h,CL=F,FULL,5628,0.188780,-0.000020,0.507149,0.002511,0.360773,0.169486,0.000086,0.441102,0.012968,0.320884,0.641733,0.000001,0.420620,-0.009487,0.333868,-0.000106,2.716599,0.006960,0.017227,13497,-0.000048,-0.000286,0.000218,-0.368920,0.596026,2.298993,0.156186,6.188280,0.210936,0.344371,0.022933,-0.003803,0.050828,-0.906376,0.827815,0.026363,-0.027730,0.076640,-0.270469,0.622517
ER,futures,1h,CL=F,IS,5628,0.191704,-0.000117,0.296024,-0.025839,0.351843,0.173350,-0.000033,0.347612,0.009976,0.322554,0.634946,0.000005,0.312521,0.009481,0.333929,-0.000084,2.466784,0.003269,-0.017412,9447,,,,,,,,,,,,,,,,,,,,
ER,futures,1h,CL=F,OOS,5628,0.182020,0.000218,0.820066,0.005822,0.383950,0.160533,0.000385,0.615817,0.015730,0.317192,0.657446,-0.000009,0.595961,-0.021956,0.333747,-0.000167,0.756207,0.016824,0.032732,4050,-0.000088,-0.000595,0.000354,-0.271379,0.622517,1.910192,0.068828,5.428818,-0.690691,0.708609,0.026059,-0.027367,0.075549,-0.303650,0.596026,0.015845,-0.079530,0.122422,0.271236,0.390728
HMM,futures,1h,CL=F,FULL,5628,0.396112,0.000028,0.252453,0.019275,0.236873,0.255565,0.000041,0.729913,-0.001685,0.212138,0.348323,-0.000028,0.310889,-0.035842,0.253237,-0.000013,1.000251,-0.028732,0.044637,13497,0.000021,-0.000186,0.000252,-0.260098,0.589404,2.236215,0.071122,6.735796,-0.551857,0.642384,-0.026706,-0.057885,0.003426,-0.101496,0.543046,0.010446,-0.027522,0.045444,1.568285,0.059603
HMM,futures,1h,CL=F,IS,5628,0.476130,0.000045,0.248777,0.022713,0.223709,0.145130,-0.000181,0.512562,0.013001,0.246043,0.378740,-0.000053,0.291315,-0.037307,0.249205,0.000226,1.291102,-0.014329,0.055164,9447,,,,,,,,,,,,,,,,,,,,
HMM,futures,1h,CL=F,OOS,5628,0.209681,-0.000065,0.271091,0.001394,0.285728,0.512719,0.000187,0.842866,-0.005560,0.151700,0.277599,0.000049,0.366124,-0.033193,0.265335,-0.000252,3.497912,-0.046621,0.031110,4050,0.000040,-0.000320,0.000466,-1.248229,0.887417,2.086045,0.181872,5.963940,0.749133,0.185430,-0.030018,-0.094229,0.025632,-0.463376,0.708609,0.007889,-0.063539,0.073637,0.575707,0.271523
ADX,futures,1h,ES=F,FULL,5706,0.342759,0.000036,0.136888,-0.060954,0.280180,0.377188,0.000051,0.175985,-0.005093,0.225833,0.280053,0.000005,0.174073,0.004533,0.407135,-0.000016,3.859210,-0.154128,-0.037557,13694,0.000009,-0.000060,0.000069,-0.587302,0.761589,2.027569,0.059115,5.731506,0.903612,0.139073,-0.131138,-0.168306,-0.096311,-1.043468,0.854305,-0.025022,-0.091992,0.047392,-0.295314,0.629139
ADX,futures,1h,ES=F,IS,5706,0.339447,0.000042,0.138364,-0.058747,0.295535,0.386292,0.000044,0.177743,-0.006513,0.245394,0.274261,0.000005,0.181597,0.052234,0.410741,-0.000002,3.040453,-0.140277,-0.084864,9585,,,,,,,,,,,,,,,,,,,,
ADX,futures,1h,ES=F,OOS,5706,0.350536,0.000021,0.133500,-0.066908,0.241223,0.355891,0.000072,0.171443,-0.000649,0.184997,0.293574,0.000005,0.156509,-0.089342,0.397744,-0.000051,1.011068,-0.184634,0.055563,4109,0.000009,-0.000117,0.000128,-0.775867,0.794702,1.900271,0.101563,5.937781,-0.453546,0.556291,-0.134440,-0.196147,-0.056496,-1.208175,0.874172,-0.024785,-0.142275,0.101553,1.041323,0.139073
ER,futures,1h,ES=F,FULL,5706,0.244204,0.000013,0.126251,-0.019068,0.370493,0.139618,-0.000010,0.207797,0.006973,0.345731,0.616178,0.000049,0.164574,-0.029298,0.332349,0.000023,0.400946,0.025763,0.023250,13694,0.000004,-0.000086,0.000098,0.349589,0.317881,2.106703,0.123637,6.374284,-0.850455,0.834437,0.027125,-0.006700,0.061320,-0.068965,0.509934,-0.002136,-0.065744,0.064272,0.604651,0.304636
ER,futures,1h,ES=F,IS,5706,0.247281,0.000007,0.131470,-0.029596,0.355584,0.144082,-0.000061,0.213314,-0.003226,0.323502,0.608637,0.000063,0.166801,0.007777,0.335780,0.000068,1.850957,0.003763,-0.024188,9585,,,,,,,,,,,,,,,,,,,,
ER,futures,1h,ES=F,OOS,5706,0.237098,0.000027,0.112568,0.017498,0.407629,0.129260,0.000121,0.192390,0.045190,0.392591,0.633642,0.000019,0.159443,-0.112968,0.324634,-0.000094,0.764681,0.075476,0.144312,4109,0.000001,-0.000163,0.000185,-0.832816,0.807947,2.213482,0.040610,6.477328,-0.660428,0.655629,0.029030,-0.029695,0.088215,1.299380,0.112583,0.002654,-0.111097,0.106051,2.039685,0.026490
HMM,futures,1h,ES=F,FULL,5706,0.447159,0.000026,0.093423,0.004731,0.218394,0.127039,0.000087,0.321612,-0.048958,0.250862,0.425803,0.000021,0.149898,0.002533,0.238159,-0.000061,1.247652,-0.003531,-0.024647,13694,-0.000033,-0.000189,0.000106,-0.289588,0.582781,2.084511,0.214896,6.076080,-0.420668,0.529801,0.023818,-0.004842,0.054774,-1.372273,0.933775,-0.016015,-0.058500,0.025938,-0.318658,0.609272
HMM,futures,1h,ES=F,IS,5706,0.484421,0.000028,0.092502,0.001764,0.208325,0.125680,0.000017,0.345302,-0.023645,0.269664,0.389900,0.000040,0.148903,-0.004601,0.240488,0.000011,1.590855,-0.001494,-0.006340,9585,,,,,,,,,,,,,,,,,,,,
HMM,futures,1h,ES=F,OOS,5706,0.360516,0.000020,0.096245,0.012841,0.242195,0.130234,0.000245,0.260257,-0.152582,0.219525,0.509250,-0.000010,0.151600,0.014175,0.242739,-0.000225,1.119358,-0.011879,-0.084045,4109,-0.000050,-0.000368,0.000218,-0.982684,0.814570,2.077044,0.129507,5.637639,-0.471920,0.582781,0.025884,-0.039285,0.093150,-0.941222,0.841060,-0.009438,-0.098282,0.067339,-1.483466,0.913907
ADX,futures,1h,GC=F,FULL,5722,0.347820,0.000060,0.198715,-0.045307,0.257994,0.370828,0.000007,0.253491,-0.016900,0.224999,0.281353,0.000118,0.193787,0.010323,0.410761,0.000053,0.006257,-0.169264,-0.041427,13734,0.000051,-0.000048,0.000132,0.046612,0.536424,2.082101,0.157535,5.165687,-1.143081,0.993377,-0.130969,-0.165746,-0.085053,-1.549709,0.960265,-0.022100,-0.088527,0.043115,-0.506396,0.701987
ADX,futures,1h,GC=F,IS,5722,0.374817,0.000081,0.155434,-0.062961,0.264611,0.345350,0.000036,0.173546,-0.024829,0.215334,0.279833,0.000124,0.158031,-0.003843,0.413056,0.000046,0.109122,-0.173084,-0.040052,9613,,,,,,,,,,,,,,,,,,,,
ADX,futures,1h,GC=F,OOS,5722,0.284951,-0.000004,0.293804,-0.027830,0.241577,0.430097,-0.000046,0.357640,-0.014127,0.244041,0.284951,0.000104,0.257385,0.022545,0.404731,0.000043,0.217778,-0.161922,-0.043524,4121,0.000045,-0.000133,0.000216,-0.018797,0.516556,1.884377,0.071420,4.810725,-1.032324,0.874172,-0.133533,-0.194984,-0.077174,-0.740359,0.774834,-0.017149,-0.126167,0.092776,-0.409368,0.695364
ER,futures,1h,GC=F,FULL,5722,0.232261,0.000068,0.203807,-0.006855,0.372779,0.128856,0.000015,0.301688,-0.071178,0.342798,0.638883,0.000059,0.204660,-0.002958,0.333324,0.000053,2.223075,0.024465,-0.036058,13734,-0.000007,-0.000159,0.000148,0.645628,0.251656,2.946018,0.242975,8.765841,-0.259398,0.509934,0.021820,-0.008014,0.052737,0.144898,0.490066,-0.021332,-0.067114,0.030299,-0.459161,0.662252
ER,futures,1h,GC=F,IS,5722,0.247498,0.000094,0.156228,-0.086637,0.376764,0.125313,0.000102,0.181520,-0.060837,0.323258,0.627189,0.000064,0.161344,-0.005941,0.344363,-0.000008,1.543232,0.005649,-0.067796,9613,,,,,,,,,,,,,,,,,,,,
ER,futures,1h,GC=F,OOS,5722,0.196602,-0.000005,0.302905,0.071629,0.370093,0.137136,-0.000168,0.462885,-0.077831,0.381877,0.666262,0.000049,0.276823,-0.000701,0.307464,0.000163,0.696845,0.068521,-0.002400,4121,-0.000014,-0.000319,0.000305,0.970063,0.152318,2.409842,0.123570,7.537771,-0.721759,0.735099,0.022792,-0.026115,0.077548,1.478599,0.072848,-0.018443,-0.106923,0.077893,0.276201,0.430464
HMM,futures,1h,GC=F,FULL,5722,0.295194,0.000096,0.139848,0.000003,0.296937,0.386349,0.000026,0.299642,-0.034570,0.213347,0.318457,0.000055,0.155200,0.013758,0.267104,0.000070,0.074159,-0.011962,-0.031041,13734,0.000046,-0.000051,0.000139,0.422517,0.344371,1.745378,0.106903,5.103458,-1.091733,0.960265,-0.034473,-0.064944,-0.001375,1.128173,0.139073,-0.006308,-0.040921,0.030282,-1.067480,0.867550
HMM,futures,1h,GC=F,IS,5722,0.405963,0.000094,0.138021,-0.000621,0.285888,0.229983,0.000059,0.221288,-0.045702,0.243076,0.364053,0.000067,0.143545,0.011353,0.273109,0.000034,0.911852,-0.008627,-0.034515,9613,,,,,,,,,,,,,,,,,,,,
HMM,futures,1h,GC=F,OOS,5722,0.037379,0.000157,0.179926,0.007633,0.406506,0.750243,0.000002,0.344872,-0.031441,0.159953,0.212379,0.000005,0.194846,0.019843,0.246016,0.000155,1.265233,0.037214,-0.031746,4121,0.000048,-0.000112,0.000225,1.020417,0.158940,1.553657,0.094776,4.145504,-0.212123,0.443709,-0.035745,-0.088823,0.020388,2.181843,0.013245,-0.003838,-0.067197,0.067417,-0.622785,0.708609
ADX,futures,1h,HG=F,FULL,5717,0.330114,0.000031,0.280332,-0.058260,0.247197,0.355795,-0.000008,0.368110,0.015600,0.237550,0.314091,0.000121,0.264927,0.032347,0.371651,0.000039,1.438510,-0.129278,-0.053677,13711,-0.000007,-0.000135,0.000146,0.502015,0.304636,2.638044,0.191499,8.295937,-0.374590,0.529801,-0.127529,-0.168026,-0.090587,-0.074997,0.516556,-0.005644,-0.074655,0.065367,-1.134801,0.880795
ADX,futures,1h,HG=F,IS,5717,0.316621,0.000022,0.259276,-0.028664,0.231478,0.342684,-0.000009,0.397233,0.043052,0.248034,0.340695,0.000097,0.252669,0.022923,0.365200,0.000031,1.110603,-0.125444,-0.015729,9597,,,,,,,,,,,,,,,,,,,,
ADX,futures,1h,HG=F,OOS,5717,0.361537,0.000050,0.318901,-0.101608,0.279603,0.386093,-0.000008,0.299386,-0.076332,0.214965,0.252371,0.000195,0.300070,0.054773,0.390736,0.000058,0.463978,-0.143452,-0.143743,4114,-0.000010,-0.000270,0.000239,0.433468,0.337748,2.203723,0.091169,7.297866,-0.741756,0.814570,-0.128342,-0.189179,-0.055642,-0.373391,0.615894,-0.001959,-0.100949,0.120465,-2.157026,0.980132
ER,futures,1h,HG=F,FULL,5717,0.192695,-0.000037,0.284906,-0.015325,0.313022,0.146603,-0.000082,0.417286,0.109284,0.328868,0.660701,0.000099,0.288243,-0.031779,0.327230,0.000045,5.587269,-0.006285,0.078758,13711,-0.000027,-0.000242,0.000164,0.588556,0.311258,3.213903,0.170918,9.998298,0.781110,0.165563,0.017934,-0.014549,0.049365,-1.243011,0.880795,0.003368,-0.055753,0.067204,1.912686,0.046358
ER,futures,1h,HG=F,IS,5717,0.190789,-0.000026,0.268727,-0.018128,0.309651,0.151629,-0.000171,0.449793,0.157443,0.317047,0.657581,0.000105,0.282371,-0.016583,0.331089,0.000145,3.315087,-0.017740,0.086241,9597,,,,,,,,,,,,,,,,,,,,
ER,futures,1h,HG=F,OOS,5717,0.197180,-0.000062,0.318347,-0.010429,0.319090,0.134938,0.000153,0.316152,-0.076153,0.357882,0.667882,0.000084,0.301316,-0.059779,0.318541,-0.000215,4.412375,0.019945,0.016488,4114,-0.000036,-0.000453,0.000334,-0.776490,0.807947,2.408571,0.136356,6.934448,0.739158,0.172185,0.023475,-0.033496,0.078713,-0.096965,0.556291,0.002780,-0.102319,0.112987,0.218044,0.430464
HMM,futures,1h,HG=F,FULL,5717,0.440175,0.000045,0.264578,-0.003504,0.230263,0.089701,0.000043,0.523857,-0.072792,0.273711,0.470124,0.000047,0.294108,-0.021834,0.215199,0.000003,0.612972,0.036788,-0.016314,13711,0.000039,-0.000177,0.000256,-0.252586,0.602649,2.387021,0.116372,6.759450,-0.727104,0.761589,0.036486,0.001299,0.069985,0.013998,0.490066,-0.013144,-0.060091,0.032480,-0.110287,0.523179
