group,timeframe,instrument,method,family,n_bars,n_segments,flips_py,dur_mean,dur_med,dur_p25,dur_p75,hit,fwd_bar,capture,hit_rem,rem_mean,dur_mean_null,dur_mean_z,dur_mean_p,dur_mean_n5,dur_mean_n95,dur_med_null,dur_med_z,dur_med_p,dur_med_n5,dur_med_n95,hit_null,hit_z,hit_p,hit_n5,hit_n95,fwd_bar_null,fwd_bar_z,fwd_bar_p,fwd_bar_n5,fwd_bar_n95,capture_null,capture_z,capture_p,capture_n5,capture_n95,flips_py_null,flips_py_z,flips_py_p,flips_py_n5,flips_py_n95,beats_null
futures,1d,NG=F,sma10_40,10/40 crossover,1722,56,8.03603,30.65455,24.00000,11.00000,43.50000,0.50291,-0.00001,-0.13730,0.38589,-0.00692,31.29577,-0.16537,0.53846,25.32751,37.87000,24.83150,-0.19910,0.59940,18.00000,32.00000,0.49904,0.32319,0.39161,0.47986,0.51837,-0.00016,0.13259,0.45754,-0.00204,0.00159,-0.16708,0.62939,0.26573,-0.24131,-0.08855,8.02944,0.00656,0.49850,6.57875,9.79503,False
futures,1d,NG=F,donch20,Donchian,1741,42,5.92512,41.53659,30.00000,21.00000,51.00000,0.50086,-0.00077,-0.05347,0.46029,0.05091,39.85476,0.37177,0.31369,33.45098,47.91806,31.16650,-0.26162,0.59940,25.00000,39.52500,0.49688,0.34228,0.36164,0.47765,0.51618,-0.00037,-0.36927,0.64036,-0.00211,0.00150,-0.08206,0.67817,0.24975,-0.14964,-0.01002,6.27512,-0.49899,0.28372,5.08123,7.39214,False
futures,1d,NG=F,donch55,Donchian,1677,20,2.85058,83.47368,61.00000,38.00000,112.50000,0.49850,-0.00176,-0.11911,0.40140,0.05519,99.31335,-0.77195,0.77722,73.52174,137.50833,79.59400,-0.92976,0.85415,55.00000,118.05000,0.49845,0.00438,0.50150,0.47897,0.51859,-0.00018,-1.37938,0.92208,-0.00199,0.00173,-0.06954,-1.03252,0.85215,-0.14446,0.01510,2.49991,0.72379,0.77223,1.77080,3.29507,False
futures,1d,NG=F,tsmom20,TS momentum,1741,187,26.87981,9.34946,3.00000,1.00000,11.00000,0.49683,-0.00089,0.07596,0.53449,0.03531,9.72644,-0.34768,0.60240,8.12212,11.72322,3.59600,-0.83762,0.98501,3.00000,5.00000,0.49472,0.18170,0.43057,0.47581,0.51298,-0.00049,-0.35607,0.64635,-0.00231,0.00130,0.02900,0.91531,0.16184,-0.05716,0.11258,25.96130,0.32199,0.62038,21.39330,30.65481,False
futures,1d,NG=F,tsmom60,TS momentum,1701,108,15.82674,15.77570,4.00000,1.00000,12.50000,0.50560,-0.00051,0.09874,0.45149,0.02418,17.02014,-0.36735,0.59940,12.21153,23.24726,3.60450,0.38545,0.44456,2.00000,5.00000,0.49642,0.75978,0.22677,0.47670,0.51683,-0.00033,-0.15070,0.57043,-0.00219,0.00147,0.00948,1.29336,0.09291,-0.11369,0.11973,14.99008,0.28778,0.62138,10.65603,20.13546,False
futures,1d,NG=F,tsmom120,TS momentum,1641,80,12.11241,20.75949,4.00000,1.00000,16.00000,0.49725,0.00029,0.10331,0.31001,-0.06551,25.44220,-0.50712,0.67333,15.15530,41.38863,3.86400,0.09147,0.49550,2.00000,6.00000,0.49729,-0.00323,0.51948,0.47636,0.51775,-0.00023,0.42275,0.33367,-0.00219,0.00192,0.00558,1.12819,0.14286,-0.13235,0.15261,10.42532,0.53507,0.72428,5.67636,16.10859,False
futures,1d,NG=F,swing5,Swing structure,1723,37,5.25689,46.61111,45.00000,24.50000,63.25000,0.49738,-0.00073,-0.11880,0.52895,0.05537,39.90095,1.32728,0.10689,32.63962,49.31475,31.02350,2.82803,0.01299,24.00000,40.00000,0.49681,0.04991,0.48252,0.47753,0.51459,-0.00037,-0.32925,0.61538,-0.00215,0.00141,-0.08945,-0.64672,0.74925,-0.15952,-0.01454,6.28267,-1.32185,0.10390,4.97336,7.54948,False
futures,1d,NQ=F,sma50,50-SMA state,1712,99,14.40238,16.84694,5.00000,1.00000,14.00000,0.53127,0.00037,-0.02320,0.61172,0.03040,14.22994,1.15855,0.11988,11.06382,18.35538,3.71550,1.51716,0.13586,3.00000,5.00000,0.51634,1.03194,0.15884,0.49298,0.53977,0.00004,0.82779,0.19580,-0.00060,0.00067,0.06868,-1.61236,0.94805,-0.02556,0.16240,17.83013,-1.24252,0.09091,13.38146,22.49849,False
futures,1d,NQ=F,sma10_40,10/40 crossover,1722,50,7.15937,33.97959,20.00000,9.00000,44.00000,0.51947,-0.00005,-0.24070,0.40656,0.00218,34.18709,-0.04468,0.47952,27.41888,42.37625,25.17150,-1.28650,0.91708,19.00000,32.00000,0.51700,0.17137,0.42358,0.49419,0.54186,0.00021,-0.68730,0.74426,-0.00040,0.00084,-0.16726,-1.62285,0.95504,-0.23808,-0.09370,7.34744,-0.19247,0.39361,5.84778,9.06406,False
futures,1d,NQ=F,donch20,Donchian,1741,36,5.05803,48.05714,30.00000,22.00000,61.50000,0.52759,0.00034,-0.03680,0.49180,0.02418,44.59996,0.54799,0.25574,35.64167,55.33065,31.99400,-0.37391,0.64635,25.00000,41.00000,0.51737,0.71291,0.24076,0.49387,0.54051,0.00018,0.43348,0.32368,-0.00041,0.00079,-0.08694,1.15945,0.11489,-0.15559,-0.01497,5.60874,-0.71782,0.22777,4.37820,6.94870,False
futures,1d,NQ=F,donch55,Donchian,1683,17,2.39193,101.68750,80.00000,46.50000,114.00000,0.53032,0.00004,-0.13422,0.43327,0.03025,121.84446,-0.51619,0.70430,82.98750,187.00556,83.97550,-0.12400,0.46454,55.00000,128.05000,0.52438,0.34085,0.36464,0.49757,0.55306,0.00031,-0.65529,0.73427,-0.00037,0.00105,-0.07215,-1.22786,0.88711,-0.15679,0.01226,2.04099,0.70349,0.78422,1.18886,2.85782,False
futures,1d,NQ=F,tsmom20,TS momentum,1741,147,21.09920,11.86986,4.00000,1.00000,15.00000,0.52529,0.00031,-0.00525,0.56522,0.02492,10.30270,1.38742,0.08591,8.62601,12.28494,3.46850,0.80655,0.41359,3.00000,5.00000,0.51309,0.90318,0.18482,0.49166,0.53594,0.00001,0.81037,0.20879,-0.00061,0.00062,0.03136,-0.64833,0.72727,-0.05952,0.12233,24.49695,-1.26867,0.09091,20.24374,29.06423,False
futures,1d,NQ=F,tsmom60,TS momentum,1701,80,11.68516,20.81013,4.00000,1.00000,16.00000,0.54000,0.00023,0.05261,0.45240,0.00472,19.28222,0.33796,0.31668,13.36429,27.72000,3.54750,0.40145,0.40759,2.00000,5.50000,0.52041,1.21800,0.10889,0.49382,0.54564,0.00015,0.17591,0.43157,-0.00056,0.00083,0.01200,0.53283,0.29670,-0.10916,0.13581,13.28067,-0.54406,0.29570,8.58403,18.20406,False
futures,1d,NQ=F,tsmom120,TS momentum,1641,47,7.05279,34.34783,3.00000,1.00000,9.00000,0.55122,0.00017,-0.08050,0.55671,0.08693,31.06213,0.22397,0.28272,16.53414,54.45420,3.79050,-0.42486,0.83616,2.00000,6.50000,0.52694,1.27045,0.10490,0.49603,0.56010,0.00031,-0.30092,0.60739,-0.00043,0.00107,0.00855,-0.90542,0.81219,-0.14964,0.17056,8.58143,-0.51466,0.32168,4.14221,13.80736,False
futures,1d,NQ=F,swing5,Swing structure,1747,48,6.76888,36.80851,27.00000,17.00000,47.00000,0.50974,-0.00039,-0.14044,0.44385,0.00680,43.69667,-1.03688,0.88112,34.66599,55.48634,31.93650,-0.87106,0.83516,24.00000,42.00000,0.51581,-0.40970,0.64735,0.49191,0.54145,0.00015,-1.41110,0.92208,-0.00046,0.00079,-0.09430,-1.00631,0.85015,-0.16953,-0.01969,5.73807,1.24783,0.89510,4.35283,7.09387,False
