level,group,timeframe,strategy,sizing,instrument,period,start,end,n_bars,bars_per_year,ann_ret_gross,ann_vol_gross,sharpe_gross,ann_ret_net,ann_vol_net,sharpe_net,max_dd_net,tstat_net,win_rate_net,profit_factor_net,trades_per_year,turnover_units_per_year,flag
instrument,crypto,4h,buyhold,fixed,XRP-USD,OOS,2025-12-01,2026-07-07,1312,2188.5000,-0.9005,0.6027,-1.4941,-0.9005,0.6027,-1.4941,-0.5717,-1.1568,0.4802,0.9091,,0.0000,FRAGILE
instrument,crypto,4h,buyhold,fixed,ADA-USD,FULL,2024-07-08,2026-07-07,4372,2188.5000,0.0884,0.9217,0.0959,0.0879,0.9217,0.0953,-0.8921,0.1348,0.4948,1.0063,,0.0000,FRAGILE
instrument,crypto,4h,buyhold,fixed,ADA-USD,IS,2024-07-08,2025-11-30,3060,2188.5000,0.6227,0.9931,0.6270,0.6220,0.9931,0.6263,-0.6956,0.7406,0.5078,1.0423,,0.0000,FRAGILE
instrument,crypto,4h,buyhold,fixed,ADA-USD,OOS,2025-12-01,2026-07-07,1312,2188.5000,-1.1578,0.7282,-1.5899,-1.1578,0.7282,-1.5899,-0.7043,-1.2310,0.4644,0.9065,,0.0000,FRAGILE
instrument,crypto,4h,buyhold,fixed,DOGE-USD,FULL,2024-07-08,2026-07-07,4372,2188.5000,0.2474,0.8990,0.2751,0.2469,0.8990,0.2746,-0.8502,0.3881,0.5032,1.0178,,0.0000,FRAGILE
instrument,crypto,4h,buyhold,fixed,DOGE-USD,IS,2024-07-08,2025-11-30,3060,2188.5000,0.7423,0.9878,0.7514,0.7416,0.9878,0.7507,-0.7187,0.8877,0.5137,1.0491,,0.0000,FRAGILE
instrument,crypto,4h,buyhold,fixed,DOGE-USD,OOS,2025-12-01,2026-07-07,1312,2188.5000,-0.9070,0.6458,-1.4044,-0.9070,0.6458,-1.4044,-0.5381,-1.0874,0.4786,0.9172,,0.0000,FRAGILE
instrument,crypto,4h,buyhold,fixed,AVAX-USD,FULL,2024-07-08,2026-07-07,4372,2188.5000,-0.2760,0.8711,-0.3169,-0.2765,0.8711,-0.3174,-0.8939,-0.4487,0.4823,0.9806,,0.0000,FRAGILE
instrument,crypto,4h,buyhold,fixed,AVAX-USD,IS,2024-07-08,2025-11-30,3060,2188.5000,0.0160,0.9431,0.0170,0.0153,0.9431,0.0162,-0.7673,0.0192,0.4866,1.0010,,0.0000,FRAGILE
instrument,crypto,4h,buyhold,fixed,AVAX-USD,OOS,2025-12-01,2026-07-07,1312,2188.5000,-0.9572,0.6743,-1.4196,-0.9572,0.6743,-1.4196,-0.6033,-1.0992,0.4720,0.9165,,0.0000,FRAGILE
instrument,crypto,4h,buyhold,fixed,DOT-USD,FULL,2024-07-08,2026-07-07,4372,2188.5000,-0.5948,0.8497,-0.7000,-0.5953,0.8497,-0.7006,-0.9276,-0.9902,0.4915,0.9565,,0.0000,FRAGILE
instrument,crypto,4h,buyhold,fixed,DOT-USD,IS,2024-07-08,2025-11-30,3060,2188.5000,-0.3001,0.8912,-0.3367,-0.3008,0.8912,-0.3375,-0.8010,-0.3991,0.5013,0.9786,,0.0000,FRAGILE
instrument,crypto,4h,buyhold,fixed,DOT-USD,OOS,2025-12-01,2026-07-07,1312,2188.5000,-1.2820,0.7438,-1.7236,-1.2820,0.7438,-1.7236,-0.6590,-1.3346,0.4684,0.9006,,0.0000,FRAGILE
instrument,crypto,4h,buyhold,fixed,LINK-USD,FULL,2024-07-08,2026-07-07,4372,2188.5000,0.1637,0.8714,0.1878,0.1632,0.8714,0.1873,-0.7655,0.2647,0.4962,1.0118,,0.0000,FRAGILE
instrument,crypto,4h,buyhold,fixed,LINK-USD,IS,2024-07-08,2025-11-30,3060,2188.5000,0.4953,0.9559,0.5182,0.4946,0.9559,0.5174,-0.6592,0.6118,0.4997,1.0325,,0.0000,FRAGILE
instrument,crypto,4h,buyhold,fixed,LINK-USD,OOS,2025-12-01,2026-07-07,1312,2188.5000,-0.6098,0.6318,-0.9651,-0.6098,0.6318,-0.9651,-0.5138,-0.7473,0.4882,0.9428,,0.0000,FRAGILE
portfolio,crypto,4h,buyhold,fixed,EW_PORTFOLIO,FULL,2024-07-08,2026-07-07,4372,2188.5000,0.0950,0.6744,0.1408,0.0945,0.6744,0.1401,-0.7253,0.1980,0.5094,1.0088,,0.0000,FRAGILE
portfolio,crypto,4h,buyhold,fixed,EW_PORTFOLIO,IS,2024-07-08,2025-11-30,3060,2188.5000,0.4847,0.7177,0.6753,0.4840,0.7177,0.6744,-0.5504,0.7974,0.5176,1.0430,,0.0000,FRAGILE
portfolio,crypto,4h,buyhold,fixed,EW_PORTFOLIO,OOS,2025-12-01,2026-07-07,1312,2188.5000,-0.8139,0.5604,-1.4525,-0.8139,0.5604,-1.4525,-0.5307,-1.1246,0.4901,0.9150,,0.0000,FRAGILE
instrument,futures,1h,buyhold,fixed,ES=F,FULL,2024-02-12,2026-07-07,13693,5705.4000,0.1817,0.1631,1.1144,0.1817,0.1631,1.1142,-0.2112,1.7260,0.5261,1.0538,,0.0000,CONSISTENT
instrument,futures,1h,buyhold,fixed,ES=F,IS,2024-02-12,2025-10-14,9579,5705.4000,0.1827,0.1665,1.0974,0.1827,0.1665,1.0970,-0.2112,1.4214,0.5246,1.0558,,0.0000,CONSISTENT
